Entropy 2-grams	Chi^2 2-grams	Entropy 3-grams	Chi^2 3-grams	Entropy 4-grams	Chi^2 4-grams	Size	Termination	File Command
7.80332	407	7.83899	382	7.99831	236	421	png	PNG image data, 66 x 26, 8-bit/color RGBA, non-interlaced
7.80332	407	7.83899	382	7.99831	236	421	png	PNG image data, 66 x 26, 8-bit/color RGBA, non-interlaced
7.80332	407	7.83899	382	7.99831	236	421	png	PNG image data, 66 x 26, 8-bit/color RGBA, non-interlaced
7.80332	407	7.83899	382	7.99831	236	421	png	PNG image data, 66 x 26, 8-bit/color RGBA, non-interlaced
7.77894	406	7.88241	298	7.97719	241	426	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
7.77894	406	7.88241	298	7.97719	241	426	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
7.70147	402	7.95121	249	8.00566	200	402	png	PNG image data, 25 x 25, 8-bit gray+alpha, non-interlaced
7.70147	402	7.95121	249	8.00566	200	402	png	PNG image data, 25 x 25, 8-bit gray+alpha, non-interlaced
7.70147	402	7.95121	249	8.00566	200	402	png	PNG image data, 25 x 25, 8-bit gray+alpha, non-interlaced
7.74188	401	7.93087	271	8.01501	203	405	png	PNG image data, 24 x 42, 8-bit/color RGBA, non-interlaced
7.74188	401	7.93087	271	8.01501	203	405	png	PNG image data, 24 x 42, 8-bit/color RGBA, non-interlaced
7.73958	399	7.88655	259	8.0091	192	398	png	PNG image data, 30 x 36, 8-bit/color RGBA, non-interlaced
7.73958	399	7.88655	259	8.0091	192	398	png	PNG image data, 30 x 36, 8-bit/color RGBA, non-interlaced
7.73958	399	7.88655	259	8.0091	192	398	png	PNG image data, 30 x 36, 8-bit/color RGBA, non-interlaced
7.73958	399	7.88655	259	8.0091	192	398	png	PNG image data, 30 x 36, 8-bit/color RGBA, non-interlaced
7.73958	399	7.88655	259	8.0091	192	398	png	PNG image data, 30 x 36, 8-bit/color RGBA, non-interlaced
7.73958	399	7.88655	259	8.0091	192	398	png	PNG image data, 30 x 36, 8-bit/color RGBA, non-interlaced
7.73958	399	7.88655	259	8.0091	192	398	png	PNG image data, 30 x 36, 8-bit/color RGBA, non-interlaced
8.06623	396.5	8.32702	770	8.45221	620	708	png	PNG image data, 29 x 29, 8-bit/color RGB, non-interlaced
8.06623	396.5	8.32702	770	8.45221	620	708	png	PNG image data, 29 x 29, 8-bit/color RGB, non-interlaced
8.06623	396.5	8.32702	770	8.45221	620	708	png	PNG image data, 29 x 29, 8-bit/color RGB, non-interlaced
8.06623	396.5	8.32702	770	8.45221	620	708	png	PNG image data, 29 x 29, 8-bit/color RGB, non-interlaced
7.66274	396	7.75158	248	7.90112	176	373	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
7.66274	396	7.75158	248	7.90112	176	373	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
7.66274	396	7.75158	248	7.90112	176	373	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
7.66274	396	7.75158	248	7.90112	176	373	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
8.05841	396	8.26261	838	8.40912	673	705	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.05841	396	8.26261	838	8.40912	673	705	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.05841	396	8.26261	838	8.40912	673	705	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.05841	396	8.26261	838	8.40912	673	705	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.05841	396	8.26261	838	8.40912	673	705	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.05841	396	8.26261	838	8.40912	673	705	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.05841	396	8.26261	838	8.40912	673	705	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
