Entropy 2-grams	Chi^2 2-grams	Entropy 3-grams	Chi^2 3-grams	Size	Termination	File Command	10.3887524951	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016
15.8633	84279.8	18.477	11961	371795	aar	Zip archive data, at least v2.0 to extract									
15.8213	83762	18.1319	20276	292329	aar	Zip archive data, at least v2.0 to extract									
15.7739	83530.3	17.8006	8832	231422	aar	Zip archive data, at least v2.0 to extract									
15.7602	83519.3	17.7475	17419	223592	aar	Zip archive data, at least v2.0 to extract									
15.7609	83497.7	17.7478	17511	223660	aar	Zip archive data, at least v2.0 to extract									
15.7609	83486	17.7478	17511	223660	aar	Zip archive data, at least v2.0 to extract									
15.3294	83381	16.34	6124	83923	aar	Zip archive data, at least v2.0 to extract									
15.8238	83139.8	18.1326	20150	292372	aar	Zip archive data, at least v2.0 to extract									
15.8228	82653.3	18.1329	19441	292530	aar	Zip archive data, at least v2.0 to extract									
15.7752	82620.3	17.7972	8771	230939	aar	Zip archive data, at least v2.0 to extract									
15.7749	82589.3	17.7993	8669	231187	aar	Zip archive data, at least v2.0 to extract									
15.6601	82335.5	17.2686	7442	159662	aar	Zip archive data, at least v2.0 to extract									
15.3368	82047	16.3394	6146	83930	aar	Zip archive data, at least v2.0 to extract									
15.8221	82020.3	18.1284	16357	291548	aar	Zip archive data, at least v2.0 to extract									
15.8228	81726.5	18.1284	16355	291585	aar	Zip archive data, at least v2.0 to extract									
15.6628	81628.5	17.2693	7377	159662	aar	Zip archive data, at least v2.0 to extract									
15.8231	81557.3	18.128	16445	291546	aar	Zip archive data, at least v2.0 to extract									
15.3165	81221	16.3155	6195	82571	aar	Zip archive data, at least v2.0 to extract									
15.6571	80462	17.2542	6750	158063	aar	Zip archive data, at least v2.0 to extract									
15.3203	79951	16.3194	5921	82661	aar	Zip archive data, at least v2.0 to extract									
15.6568	79239.5	17.2531	6511	157858	aar	Zip archive data, at least v2.0 to extract									
15.6564	79088	17.254	5804	158025	aar	Zip archive data, at least v2.0 to extract									
15.6568	79013	17.2543	5765	158035	aar	Zip archive data, at least v2.0 to extract									
15.6567	78760.5	17.2539	5759	158024	aar	Zip archive data, at least v2.0 to extract									
15.8596	78732	18.4366	11262	361423	aar	Zip archive data, at least v2.0 to extract									
15.8607	78578	18.4365	11315	361421	aar	Zip archive data, at least v2.0 to extract									
15.3114	78378	16.3019	5943	81703	aar	Zip archive data, at least v2.0 to extract									
15.3196	78309	16.3021	5855	81663	aar	Zip archive data, at least v2.0 to extract									
15.3197	78286	16.3021	5852	81664	aar	Zip archive data, at least v2.0 to extract									
15.2257	78154	16.1225	13242	72692	aar	Zip archive data, at least v2.0 to extract									
15.6528	77417.5	17.2416	5968	156692	aar	Zip archive data, at least v2.0 to extract									
15.6547	77267.5	17.2415	6118	156712	aar	Zip archive data, at least v2.0 to extract									
15.6549	77200	17.2412	6116	156695	aar	Zip archive data, at least v2.0 to extract									
15.3196	77151	16.3017	5900	81652	aar	Zip archive data, at least v2.0 to extract									
15.6532	77030.5	17.2417	5954	156680	aar	Zip archive data, at least v2.0 to extract									
15.848	74552.8	18.3412	21995	338380	aar	Zip archive data, at least v2.0 to extract									
15.8475	74359.8	18.3348	22403	336974	aar	Zip archive data, at least v2.0 to extract									
15.8152	72043.5	18.073	8242	279905	aar	Zip archive data, at least v2.0 to extract									
15.2675	71962	16.2091	6382	76646	aar	Zip archive data, at least v2.0 to extract									
15.7974	71960.8	17.9636	21354	260094	aar	Zip archive data, at least v2.0 to extract									
15.2664	71886	16.2077	6374	76565	aar	Zip archive data, at least v2.0 to extract									
15.2666	71855	16.2077	6374	76565	aar	Zip archive data, at least v2.0 to extract									
15.2666	71708	16.2062	6374	76489	aar	Zip archive data, at least v2.0 to extract									
15.6322	71532	17.1703	7095	149239	aar	Zip archive data, at least v2.0 to extract									
15.8175	71337.8	18.0753	8466	280322	aar	Zip archive data, at least v2.0 to extract									
15.6347	71082.5	17.1707	7138	149250	aar	Zip archive data, at least v2.0 to extract									
15.6348	71074.5	17.1708	7123	149250	aar	Zip archive data, at least v2.0 to extract									
15.6336	71042.5	17.1718	7042	149320	aar	Zip archive data, at least v2.0 to extract									
15.7532	70743	17.688	8021	213909	aar	Zip archive data, at least v2.0 to extract									
15.7567	70633.7	17.6883	8091	213905	aar	Zip archive data, at least v2.0 to extract									
15.7529	70580.7	17.6892	7330	214027	aar	Zip archive data, at least v2.0 to extract									
15.6374	70396.5	17.1732	7012	149418	aar	Zip archive data, at least v2.0 to extract									
15.7551	70316.3	17.6894	7701	213934	aar	Zip archive data, at least v2.0 to extract									
15.7497	69955.7	17.6737	8030	211820	aar	Zip archive data, at least v2.0 to extract									
15.7984	69938	17.9627	21018	259881	aar	Zip archive data, at least v2.0 to extract									
15.7549	69880.7	17.6892	7241	213922	aar	Zip archive data, at least v2.0 to extract									
15.8083	69867	18.0321	9477	271893	aar	Zip archive data, at least v2.0 to extract									
15.7546	69841	17.6888	7261	213922	aar	Zip archive data, at least v2.0 to extract									
15.8103	69834	18.036	10059	272779	aar	Zip archive data, at least v2.0 to extract									
15.7999	69770.5	17.9757	19334	261959	aar	Zip archive data, at least v2.0 to extract									
15.8118	69653.5	18.0359	10036	272783	aar	Zip archive data, at least v2.0 to extract									
15.8023	69372	17.9749	19457	261889	aar	Zip archive data, at least v2.0 to extract									
15.7484	69151	17.6655	8065	210529	aar	Zip archive data, at least v2.0 to extract									
15.75	69023	17.6664	7939	210715	aar	Zip archive data, at least v2.0 to extract									
15.8022	68917.5	17.9758	19278	261961	aar	Zip archive data, at least v2.0 to extract									
15.7492	68835.3	17.665	7924	210535	aar	Zip archive data, at least v2.0 to extract									
15.8102	68692.3	18.0329	9430	271890	aar	Zip archive data, at least v2.0 to extract									
15.7485	68598.7	17.6648	7945	210535	aar	Zip archive data, at least v2.0 to extract									
15.812	68518.8	18.034	9650	272252	aar	Zip archive data, at least v2.0 to extract									
15.2569	68185	16.1753	6326	74878	aar	Zip archive data, at least v2.0 to extract									
15.2569	68109	16.1736	6295	74781	aar	Zip archive data, at least v2.0 to extract									
15.2588	68072	16.1754	6321	74876	aar	Zip archive data, at least v2.0 to extract									
15.8078	67979.8	18.0197	8996	269862	aar	Zip archive data, at least v2.0 to extract									
15.8086	67973.8	18.0219	8983	270152	aar	Zip archive data, at least v2.0 to extract									
15.2504	67953	16.1682	6372	74530	aar	Zip archive data, at least v2.0 to extract									
15.2505	67929	16.1682	6372	74530	aar	Zip archive data, at least v2.0 to extract									
15.7523	67623.7	17.6684	6790	210924	aar	Zip archive data, at least v2.0 to extract									
15.7523	67606.3	17.6683	6813	210924	aar	Zip archive data, at least v2.0 to extract									
15.7484	67571.7	17.6571	7874	209383	aar	Zip archive data, at least v2.0 to extract									
15.7487	67519.7	17.6572	7926	209382	aar	Zip archive data, at least v2.0 to extract									
15.8116	67175.3	18.0221	8878	270080	aar	Zip archive data, at least v2.0 to extract									
15.7412	65739.7	17.6273	7719	204968	aar	Zip archive data, at least v2.0 to extract									
15.2428	65474	16.1515	5871	73674	aar	Zip archive data, at least v2.0 to extract									
15.7394	65362.3	17.6155	8098	203300	aar	Zip archive data, at least v2.0 to extract									
15.7354	65190.3	17.6135	7746	203095	aar	Zip archive data, at least v2.0 to extract									
15.7357	65182	17.6138	7840	203096	aar	Zip archive data, at least v2.0 to extract									
15.7368	65023.7	17.6145	8080	203299	aar	Zip archive data, at least v2.0 to extract									
15.7223	64607.7	17.5382	16082	193098	aar	Zip archive data, at least v2.0 to extract									
15.7223	64603.7	17.5383	16078	193098	aar	Zip archive data, at least v2.0 to extract									
15.8	64598.8	17.9623	8889	259568	aar	Zip archive data, at least v2.0 to extract									
15.7223	64566.3	17.5381	16125	193099	aar	Zip archive data, at least v2.0 to extract									
15.7212	64534	17.5378	16162	193037	aar	Zip archive data, at least v2.0 to extract									
15.7381	64449.7	17.6132	7740	203050	aar	Zip archive data, at least v2.0 to extract									
15.7983	64376.3	17.9605	8746	259084	aar	Zip archive data, at least v2.0 to extract									
15.7994	64102	17.9601	8637	259079	aar	Zip archive data, at least v2.0 to extract									
15.7392	64036.3	17.612	7707	202828	aar	Zip archive data, at least v2.0 to extract									
15.8	63957.5	17.9608	8715	259171	aar	Zip archive data, at least v2.0 to extract									
15.7121	63760.3	17.4914	19088	187144	aar	Zip archive data, at least v2.0 to extract									
15.1942	61349	16.0655	7109	69454	aar	Zip archive data, at least v2.0 to extract									
15.1983	61029	16.0647	7021	69361	aar	Zip archive data, at least v2.0 to extract									
15.7214	57608	17.5251	7338	190781	aar	Zip archive data, at least v2.0 to extract									
15.7216	57528.7	17.5248	7374	190786	aar	Zip archive data, at least v2.0 to extract									
15.7172	57055.7	17.5111	6153	188955	aar	Zip archive data, at least v2.0 to extract									
15.1557	56951	15.9856	7240	65735	aar	Zip archive data, at least v2.0 to extract									
15.7158	56881.7	17.5109	6186	188956	aar	Zip archive data, at least v2.0 to extract									
15.7164	56832	17.511	6225	188957	aar	Zip archive data, at least v2.0 to extract									
15.1586	56830	15.9859	7263	65735	aar	Zip archive data, at least v2.0 to extract									
15.7081	55951.7	17.475	7905	184728	aar	Zip archive data, at least v2.0 to extract									
15.7075	55948.7	17.4737	8009	184499	aar	Zip archive data, at least v2.0 to extract									
15.709	55600.3	17.4749	7805	184633	aar	Zip archive data, at least v2.0 to extract									
15.7086	55572.7	17.4752	7610	184507	aar	Zip archive data, at least v2.0 to extract									
15.7094	55571.7	17.4748	7811	184633	aar	Zip archive data, at least v2.0 to extract									
15.5132	54633	16.8015	17468	116051	aar	Zip archive data, at least v2.0 to extract									
15.1652	53847	15.9973	5653	66105	aar	Zip archive data, at least v2.0 to extract									
15.5169	53760.5	16.7999	17484	115904	aar	Zip archive data, at least v2.0 to extract									
15.5166	53710	16.8002	17481	115909	aar	Zip archive data, at least v2.0 to extract									
15.1607	53187	15.9968	5675	66093	aar	Zip archive data, at least v2.0 to extract									
15.1639	52949	15.9962	5667	66065	aar	Zip archive data, at least v2.0 to extract									
15.1654	52828	15.9966	5652	66084	aar	Zip archive data, at least v2.0 to extract									
15.5017	52544	16.7573	17423	112573	aar	Zip archive data, at least v2.0 to extract									
15.5017	52543	16.7573	17423	112573	aar	Zip archive data, at least v2.0 to extract									
