Size	Entropy	Chi^2	Pi Error	Termination	Command
3682	7.94427	292.286/375	0.175712	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
3682	7.94427	292.286/375	0.175712	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
3682	7.94427	292.286/375	0.175712	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
3682	7.94427	292.286/375	0.175712	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
3938	7.94393	320.267/375	0.165073	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
3938	7.94393	320.267/375	0.165073	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
3756	7.94358	314.429/375	0.144733	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3756	7.94358	314.429/375	0.144733	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3756	7.94358	314.429/375	0.144733	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3756	7.94358	314.429/375	0.144733	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3613	7.94341	292.5/375	0.154696	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3613	7.94341	292.5/375	0.154696	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3613	7.94341	292.5/375	0.154696	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3613	7.94341	292.5/375	0.154696	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3875	7.94146	327.8/375	0.150517	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3875	7.94146	327.8/375	0.150517	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3875	7.94146	327.8/375	0.150517	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3875	7.94146	327.8/375	0.150517	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3458	7.941	300/375	0.125407	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
3621	7.94043	310.071/375	0.142383	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
3986	7.94035	372/375	0.161712	png	PNG image data, 81 x 80, 8-bit/color RGBA, non-interlaced
3986	7.94035	372/375	0.161712	png	PNG image data, 81 x 80, 8-bit/color RGBA, non-interlaced
3986	7.94035	372/375	0.161712	png	PNG image data, 81 x 80, 8-bit/color RGBA, non-interlaced
3986	7.94035	372/375	0.161712	png	PNG image data, 81 x 80, 8-bit/color RGBA, non-interlaced
4237	7.93996	358.938/375	0.141262	png	PNG image data, 50 x 45, 8-bit/color RGBA, non-interlaced
3622	7.93682	335/375	0.152579	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3622	7.93682	335/375	0.152579	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3622	7.93682	335/375	0.152579	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3622	7.93682	335/375	0.152579	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3618	7.93586	337.143/375	0.171233	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
3288	7.93555	336.667/374	0.182153	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
3610	7.93524	338.428/375	0.184661	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3610	7.93524	338.428/375	0.184661	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3610	7.93524	338.428/375	0.184661	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3610	7.93524	338.428/375	0.184661	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3296	7.93468	331.167/374	0.160056	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
3296	7.93468	331.167/374	0.160056	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
3709	7.93382	371.5/375	0.187885	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
3213	7.932	334.917/374	0.151174	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3213	7.932	334.917/374	0.151174	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3213	7.932	334.917/374	0.151174	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3213	7.932	334.917/374	0.151174	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3137	7.93125	338.584/374	0.174707	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
3499	7.93088	357.616/375	0.156629	png	PNG image data, 75 x 60, 8-bit/color RGBA, non-interlaced
3499	7.93088	357.616/375	0.156629	png	PNG image data, 75 x 60, 8-bit/color RGBA, non-interlaced
3499	7.93088	357.616/375	0.156629	png	PNG image data, 75 x 60, 8-bit/color RGBA, non-interlaced
3499	7.93088	357.616/375	0.156629	png	PNG image data, 75 x 60, 8-bit/color RGBA, non-interlaced
3366	7.93073	344.615/375	0.164791	png	PNG image data, 75 x 44, 8-bit/color RGBA, non-interlaced
3366	7.93073	344.615/375	0.164791	png	PNG image data, 75 x 44, 8-bit/color RGBA, non-interlaced
3366	7.93073	344.615/375	0.164791	png	PNG image data, 75 x 44, 8-bit/color RGBA, non-interlaced
3366	7.93073	344.615/375	0.164791	png	PNG image data, 75 x 44, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3305	7.93068	364.584/374	0.160032	png	PNG image data, 83 x 83, 8-bit/color RGBA, non-interlaced
3410	7.92928	341.231/375	0.142215	png	PNG image data, 49 x 49, 8-bit/color RGBA, non-interlaced
3410	7.92928	341.231/375	0.142215	png	PNG image data, 49 x 49, 8-bit/color RGBA, non-interlaced
3410	7.92928	341.231/375	0.142215	png	PNG image data, 49 x 49, 8-bit/color RGBA, non-interlaced
3410	7.92928	341.231/375	0.142215	png	PNG image data, 49 x 49, 8-bit/color RGBA, non-interlaced
3181	7.92598	327.584/374	0.164774	png	PNG image data, 119 x 35, 8-bit/color RGBA, non-interlaced
3339	7.92592	355.154/375	0.153462	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3339	7.92592	355.154/375	0.153462	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3339	7.92592	355.154/375	0.153462	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3339	7.92592	355.154/375	0.153462	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3157	7.92542	369.251/374	0.129409	png	PNG image data, 70 x 70, 8-bit/color RGBA, non-interlaced
3157	7.92542	369.251/374	0.129409	png	PNG image data, 70 x 70, 8-bit/color RGBA, non-interlaced
3157	7.92542	369.251/374	0.129409	png	PNG image data, 70 x 70, 8-bit/color RGBA, non-interlaced
3401	7.92478	373/375	0.19384	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3401	7.92478	373/375	0.19384	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3401	7.92478	373/375	0.19384	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
3401	7.92478	373/375	0.19384	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
2855	7.92431	311.909/374	0.119967	png	PNG image data, 242 x 21, 8-bit/color RGBA, non-interlaced
2855	7.92431	311.909/374	0.119967	png	PNG image data, 242 x 21, 8-bit/color RGBA, non-interlaced
2855	7.92431	311.909/374	0.119967	png	PNG image data, 242 x 21, 8-bit/color RGBA, non-interlaced
2855	7.92431	311.909/374	0.119967	png	PNG image data, 242 x 21, 8-bit/color RGBA, non-interlaced
2674	7.92407	302/374	0.143561	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2674	7.92407	302/374	0.143561	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2674	7.92407	302/374	0.143561	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2674	7.92407	302/374	0.143561	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2577	7.92236	310.3/374	0.196629	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
2577	7.92236	310.3/374	0.196629	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
3188	7.92232	372.834/374	0.112445	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2477	7.92169	313.445/374	0.175323	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2717	7.92031	339.3/374	0.127283	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2717	7.92031	339.3/374	0.127283	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2717	7.92031	339.3/374	0.127283	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2717	7.92031	339.3/374	0.127283	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2901	7.91786	366.818/374	0.152051	png	PNG image data, 88 x 19, 8-bit/color RGBA, non-interlaced
2602	7.9171	306.2/374	0.163886	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2602	7.9171	306.2/374	0.163886	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2602	7.9171	306.2/374	0.163886	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2602	7.9171	306.2/374	0.163886	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2615	7.91682	317.3/374	0.164802	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2615	7.91682	317.3/374	0.164802	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2615	7.91682	317.3/374	0.164802	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2615	7.91682	317.3/374	0.164802	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2394	7.91676	292.889/374	0.162342	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2837	7.91645	357.546/374	0.134574	png	PNG image data, 66 x 66, 8-bit/color RGBA, non-interlaced
2837	7.91645	357.546/374	0.134574	png	PNG image data, 66 x 66, 8-bit/color RGBA, non-interlaced
2837	7.91645	357.546/374	0.134574	png	PNG image data, 66 x 66, 8-bit/color RGBA, non-interlaced
2837	7.91645	357.546/374	0.134574	png	PNG image data, 66 x 66, 8-bit/color RGBA, non-interlaced
2638	7.9153	337.2/374	0.140563	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2638	7.9153	337.2/374	0.140563	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2638	7.9153	337.2/374	0.140563	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2638	7.9153	337.2/374	0.140563	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2694	7.91501	365.4/374	0.191819	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2694	7.91501	365.4/374	0.191819	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2694	7.91501	365.4/374	0.191819	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2694	7.91501	365.4/374	0.191819	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2522	7.91447	362/374	0.118876	png	PNG image data, 81 x 50, 8-bit/color RGBA, non-interlaced
2522	7.91447	362/374	0.118876	png	PNG image data, 81 x 50, 8-bit/color RGBA, non-interlaced
2522	7.91447	362/374	0.118876	png	PNG image data, 81 x 50, 8-bit/color RGBA, non-interlaced
2522	7.91447	362/374	0.118876	png	PNG image data, 81 x 50, 8-bit/color RGBA, non-interlaced
2566	7.91351	311.6/374	0.147703	png	PNG image data, 50 x 50, 8-bit/color RGBA, non-interlaced
2121	7.91015	278.125/374	0.189593	snap	data
2669	7.91008	356.5/374	0.154512	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
2669	7.91008	356.5/374	0.154512	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
2669	7.91008	356.5/374	0.154512	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
2669	7.91008	356.5/374	0.154512	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
2448	7.91002	337.556/374	0.144932	png	PNG image data, 107 x 58, 8-bit/color RGBA, non-interlaced
2448	7.91002	337.556/374	0.144932	png	PNG image data, 107 x 58, 8-bit/color RGBA, non-interlaced
2448	7.91002	337.556/374	0.144932	png	PNG image data, 107 x 58, 8-bit/color RGBA, non-interlaced
2448	7.91002	337.556/374	0.144932	png	PNG image data, 107 x 58, 8-bit/color RGBA, non-interlaced
2360	7.90913	310.444/374	0.178138	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2360	7.90913	310.444/374	0.178138	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2360	7.90913	310.444/374	0.178138	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2360	7.90913	310.444/374	0.178138	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2057	7.90844	267.375/374	0.1388	png	PNG image data, 60 x 68, 8-bit/color RGBA, non-interlaced
2608	7.9084	361.4/374	0.132148	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2608	7.9084	361.4/374	0.132148	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2608	7.9084	361.4/374	0.132148	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2608	7.9084	361.4/374	0.132148	png	PNG image data, 94 x 58, 8-bit/color RGBA, non-interlaced
2330	7.90716	312.889/374	0.136426	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2494	7.90714	365.333/374	0.113935	png	PNG image data, 50 x 92, 8-bit/color RGBA, non-interlaced
2574	7.90632	351.4/374	0.102203	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2574	7.90632	351.4/374	0.102203	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2574	7.90632	351.4/374	0.102203	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2574	7.90632	351.4/374	0.102203	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2189	7.90561	332.625/374	0.16629	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2189	7.90561	332.625/374	0.16629	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2189	7.90561	332.625/374	0.16629	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2426	7.90507	347.778/374	0.140681	png	PNG image data, 320 x 54, 8-bit/color RGB, non-interlaced
2426	7.90507	347.778/374	0.140681	png	PNG image data, 320 x 54, 8-bit/color RGB, non-interlaced
2426	7.90507	347.778/374	0.140681	png	PNG image data, 320 x 54, 8-bit/color RGB, non-interlaced
2426	7.90507	347.778/374	0.140681	png	PNG image data, 320 x 54, 8-bit/color RGB, non-interlaced
2647	7.90474	369.3/374	0.137715	png	PNG image data, 36 x 36, 8-bit/color RGBA, non-interlaced
2427	7.90449	368.334/374	0.148551	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2427	7.90449	368.334/374	0.148551	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2427	7.90449	368.334/374	0.148551	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2427	7.90449	368.334/374	0.148551	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2415	7.90052	352.333/374	0.1633	png	PNG image data, 38 x 89, 8-bit/color RGBA, non-interlaced
2415	7.90052	352.333/374	0.1633	png	PNG image data, 38 x 89, 8-bit/color RGBA, non-interlaced
2415	7.90052	352.333/374	0.1633	png	PNG image data, 38 x 89, 8-bit/color RGBA, non-interlaced
2415	7.90052	352.333/374	0.1633	png	PNG image data, 38 x 89, 8-bit/color RGBA, non-interlaced
2381	7.89974	361.667/374	0.182176	png	PNG image data, 90 x 75, 8-bit/color RGBA, non-interlaced
2332	7.8997	355.333/374	0.158811	png	PNG image data, 63 x 55, 8-bit/color RGBA, non-interlaced
2332	7.8997	355.333/374	0.158811	png	PNG image data, 63 x 55, 8-bit/color RGBA, non-interlaced
2332	7.8997	355.333/374	0.158811	png	PNG image data, 63 x 55, 8-bit/color RGBA, non-interlaced
2332	7.8997	355.333/374	0.158811	png	PNG image data, 63 x 55, 8-bit/color RGBA, non-interlaced
2200	7.89965	344.5/374	0.148283	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
2200	7.89965	344.5/374	0.148283	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
1810	7.89929	245.429/374	0.146255	gz	"gzip compressed data, was ""error-stack-parser.min.js"", last modified"
1988	7.89756	344.286/374	0.139651	png	PNG image data, 36 x 36, 8-bit/color RGBA, non-interlaced
2069	7.8964	309.375/374	0.165936	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
2069	7.8964	309.375/374	0.165936	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
2069	7.8964	309.375/374	0.165936	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
2069	7.8964	309.375/374	0.165936	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
1923	7.88722	351.857/374	0.149849	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
1693	7.88603	310.5/374	0.193239	png	PNG image data, 35 x 37, 8-bit/color RGBA, non-interlaced
1562	7.88518	275.333/374	0.134881	png	PNG image data, 18 x 18, 8-bit/color RGBA, non-interlaced
2075	7.88439	368.375/374	0.166506	png	PNG image data, 44 x 44, 8-bit/color RGBA, non-interlaced
2075	7.88439	368.375/374	0.166506	png	PNG image data, 44 x 44, 8-bit/color RGBA, non-interlaced
2075	7.88439	368.375/374	0.166506	png	PNG image data, 44 x 44, 8-bit/color RGBA, non-interlaced
2075	7.88439	368.375/374	0.166506	png	PNG image data, 44 x 44, 8-bit/color RGBA, non-interlaced
2082	7.88341	349.5/374	0.179916	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
2082	7.88341	349.5/374	0.179916	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
2082	7.88341	349.5/374	0.179916	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
2082	7.88341	349.5/374	0.179916	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
2103	7.8827	361.875/374	0.128167	png	PNG image data, 119 x 62, 8-bit/color RGBA, non-interlaced
2103	7.8827	361.875/374	0.128167	png	PNG image data, 119 x 62, 8-bit/color RGBA, non-interlaced
2103	7.8827	361.875/374	0.128167	png	PNG image data, 119 x 62, 8-bit/color RGBA, non-interlaced
2103	7.8827	361.875/374	0.128167	png	PNG image data, 119 x 62, 8-bit/color RGBA, non-interlaced
2079	7.8779	367.875/374	0.195269	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
2079	7.8779	367.875/374	0.195269	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
2079	7.8779	367.875/374	0.195269	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
2079	7.8779	367.875/374	0.195269	png	PNG image data, 60 x 60, 8-bit/color RGBA, non-interlaced
1723	7.8773	336.833/374	0.138626	png	PNG image data, 36 x 36, 8-bit/color RGBA, non-interlaced
1723	7.8773	336.833/374	0.138626	png	PNG image data, 36 x 36, 8-bit/color RGBA, non-interlaced
1911	7.87428	355.428/374	0.182488	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1911	7.87428	355.428/374	0.182488	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1911	7.87428	355.428/374	0.182488	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1911	7.87428	355.428/374	0.182488	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1804	7.87122	328.714/374	0.145534	png	PNG image data, 81 x 50, 8-bit/color RGBA, non-interlaced
1804	7.87122	328.714/374	0.145534	png	PNG image data, 81 x 50, 8-bit/color RGBA, non-interlaced
1804	7.87122	328.714/374	0.145534	png	PNG image data, 81 x 50, 8-bit/color RGBA, non-interlaced
1804	7.87122	328.714/374	0.145534	png	PNG image data, 81 x 50, 8-bit/color RGBA, non-interlaced
1637	7.86928	321.833/374	0.172161	png	PNG image data, 71 x 74, 8-bit/color RGBA, non-interlaced
1637	7.86928	321.833/374	0.172161	png	PNG image data, 71 x 74, 8-bit/color RGBA, non-interlaced
1637	7.86928	321.833/374	0.172161	png	PNG image data, 71 x 74, 8-bit/color RGBA, non-interlaced
1637	7.86928	321.833/374	0.172161	png	PNG image data, 71 x 74, 8-bit/color RGBA, non-interlaced
1671	7.86902	352.166/374	0.14965	png	PNG image data, 18 x 36, 8-bit/color RGBA, non-interlaced
1797	7.86899	339.857/374	0.166761	png	PNG image data, 33 x 33, 8-bit/color RGBA, non-interlaced
1797	7.86899	339.857/374	0.166761	png	PNG image data, 33 x 33, 8-bit/color RGBA, non-interlaced
1797	7.86899	339.857/374	0.166761	png	PNG image data, 33 x 33, 8-bit/color RGBA, non-interlaced
1797	7.86899	339.857/374	0.166761	png	PNG image data, 33 x 33, 8-bit/color RGBA, non-interlaced
1868	7.86889	363.143/374	0.184554	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1868	7.86889	363.143/374	0.184554	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1868	7.86889	363.143/374	0.184554	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1868	7.86889	363.143/374	0.184554	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1817	7.86681	342.286/374	0.167982	png	PNG image data, 50 x 50, 8-bit/color RGBA, non-interlaced
1817	7.86681	342.286/374	0.167982	png	PNG image data, 50 x 50, 8-bit/color RGBA, non-interlaced
1817	7.86681	342.286/374	0.167982	png	PNG image data, 50 x 50, 8-bit/color RGBA, non-interlaced
1848	7.86506	360.143/374	0.125681	png	PNG image data, 36 x 63, 8-bit/color RGBA, interlaced
1791	7.86236	362.571/374	0.161837	png	PNG image data, 50 x 98, 8-bit/color RGBA, non-interlaced
1791	7.86236	362.571/374	0.161837	png	PNG image data, 50 x 98, 8-bit/color RGBA, non-interlaced
1791	7.86236	362.571/374	0.161837	png	PNG image data, 50 x 98, 8-bit/color RGBA, non-interlaced
1791	7.86236	362.571/374	0.161837	png	PNG image data, 50 x 98, 8-bit/color RGBA, non-interlaced
1571	7.85889	366.166/374	0.149554	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
1537	7.85425	311.167/374	0.131318	png	PNG image data, 36 x 36, 8-bit/color RGBA, non-interlaced
1537	7.85425	311.167/374	0.131318	png	PNG image data, 36 x 36, 8-bit/color RGBA, non-interlaced
1558	7.85255	365.666/374	0.143012	png	PNG image data, 31 x 31, 8-bit/color RGBA, non-interlaced
1558	7.85255	365.666/374	0.143012	png	PNG image data, 31 x 31, 8-bit/color RGBA, non-interlaced
1558	7.85255	365.666/374	0.143012	png	PNG image data, 31 x 31, 8-bit/color RGBA, non-interlaced
1558	7.85255	365.666/374	0.143012	png	PNG image data, 31 x 31, 8-bit/color RGBA, non-interlaced
1456	7.8516	355.6/374	0.174752	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1456	7.8516	355.6/374	0.174752	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1456	7.8516	355.6/374	0.174752	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1456	7.8516	355.6/374	0.174752	png	PNG image data, 30 x 32, 8-bit/color RGBA, non-interlaced
1567	7.8466	345.833/374	0.189314	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
1567	7.8466	345.833/374	0.189314	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
1567	7.8466	345.833/374	0.189314	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
1567	7.8466	345.833/374	0.189314	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
1398	7.84007	367.4/374	0.163924	png	PNG image data, 9 x 18, 8-bit/color RGBA, non-interlaced
1395	7.83745	372/374	0.164864	png	PNG image data, 9 x 18, 8-bit/color RGBA, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1339	7.82382	334.2/374	0.128386	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
1300	7.82325	348.8/374	0.149218	png	PNG image data, 40 x 40, 8-bit/color RGBA, non-interlaced
1300	7.82325	348.8/374	0.149218	png	PNG image data, 40 x 40, 8-bit/color RGBA, non-interlaced
1300	7.82325	348.8/374	0.149218	png	PNG image data, 40 x 40, 8-bit/color RGBA, non-interlaced
