Chi^2;Size;Entropy;Termination
398.478;6111;7.95589;png
416.25;1115;7.77013;png
390;2208;7.8972;png
383.445;2447;7.90003;png
391.5;2721;7.90947;png
417.417;3215;7.91745;png
399.539;3484;7.92382;png
426;149;5.96253;png
374.6;1347;7.82966;png
438.819;2955;7.90332;png
391.833;1621;7.83878;png
303.5;403;7.22634;png
400.124;6203;7.95645;png
443.636;5698;7.94672;png
379.751;3283;7.93277;png
309.375;2069;7.8964;png
359;336;7.0033;png
444.5;471;7.34727;png
435.5;2136;7.87009;png
317.214;7374;7.97081;png
423.5;469;7.35857;png
447.75;1187;7.7825;png
390.001;729;7.60681;png
401;1056;7.75564;png
426.332;1672;7.85577;png
432;167;6.33381;png
384.5;2082;7.87671;png
388.778;2473;7.90468;png
449.5;537;7.45406;png
436.2;1357;7.80135;png
382.143;1949;7.88325;png
385;998;7.71609;png
342.6;1311;7.81747;png
434;111;5.52862;png
414.909;3062;7.91772;png
430.75;4286;7.93351;png
339.3;2717;7.92031;png
382.2;2656;7.90415;png
409.654;6867;7.96107;png
397.538;6806;7.96052;png
364.348;5944;7.95624;png
374.2;1297;7.81349;png
443.4;1487;7.84689;png
419;134;5.8761;png
369;133;5.97092;png
418;134;5.89103;png
413;123;5.66022;png
430.001;713;7.59645;png
399.334;713;7.59688;png
426.6;1468;7.84687;png
418.334;780;7.64066;png
334.334;724;7.648;png
344.615;3366;7.93072;png
387.616;3561;7.93592;png
433;2760;7.90474;png
313.286;3768;7.94476;png
414.4;1316;7.80722;png
391.2;1471;7.85268;png
390.666;1540;7.84271;png
368.375;2075;7.88439;png
437;2547;7.90077;png
418;127;5.71913;png
343.5;389;7.18951;png
395;1929;7.87809;png
420;456;7.28917;png
225.5;379;7.29546;png
338.429;3610;7.93524;png
373;3401;7.92478;png
351.5;373;7.1904;png
393.125;2103;7.87036;png
399.647;4520;7.94498;png
401.4;1325;7.80928;png
384.6;1401;7.83341;png
431;163;6.28294;png
270;404;7.3123;png
433;161;6.18916;png
326.5;533;7.52946;png
413;266;6.58674;png
441;151;6.07292;png
420.5;1084;7.78918;png
426.668;791;7.65421;png
395;109;5.50017;png
356;116;5.6944;png
355.333;2332;7.8997;png
434.333;1702;7.84082;png
438.334;737;7.59887;png
435.4;2752;7.909;png
413.689;11592;7.97446;png
340.5;443;7.36835;png
368.334;734;7.63507;png
445.714;1802;7.82276;png
383.668;757;7.63025;png
417.857;5547;7.94985;png
425;578;7.48837;png
428.166;1671;7.85819;png
357.546;2837;7.91645;png
420.462;3576;7.9279;png
419.667;808;7.64262;png
357.8;1285;7.82249;png
442.334;707;7.57316;png
368.334;734;7.63507;png
352.334;2415;7.90052;png
396;128;5.92994;png
413.8;1361;7.81499;png
412.6;1322;7.78588;png
336;476;7.36429;png
397;192;5.8099;png
397;192;5.8099;png
397;192;5.8099;png
397;192;5.8099;png
397;192;5.8099;png
417.25;1165;7.78086;png
447;442;7.22262;png
420;521;5.67319;SF
404.714;521;5.70425;SF
406.833;475;5.71953;MF
392.166;475;5.72229;MF
349.833;473;5.75871;SF
310.3;2577;7.92236;png
408;110;5.54306;png
340.262;10857;7.97776;png
432.166;1555;7.81047;gif
442.75;8350;7.96323;png
447.001;736;7.61095;png
379;2166;7.88767;png
432.166;1555;7.81047;gif
363.161;8010;7.96759;png
426.905;5519;7.9504;png
372.88;6588;7.96076;png
405.833;475;5.71212;MF
410.5;475;5.73278;MF
423;382;7.42969;gz
294.588;4408;7.95305;png
386;358;6.99175;gif
379;2166;7.88767;png
411;118;5.61296;gif
429.6;7720;7.96111;png
447.857;1805;7.85132;png
442.333;1692;7.83677;gif
424.445;2392;7.88034;gif
319.778;9390;7.9762;png
360.76;6439;7.96074;png
368.75;6156;7.95778;png
442.75;8350;7.96323;png
448.666;1534;7.80775;png
447.001;736;7.61095;png
246.5;175;5.8349;gif
377.251;3247;7.92645;png
255.5;268;5.51702;js
440;215;6.67721;png
316;396;7.23751;png
439;199;6.54477;png
420;214;6.74255;png
422;133;5.83364;png
419;159;6.27164;png
331.001;785;7.6954;png
428.667;887;7.67037;png
448;1208;7.79826;png
448.2;1291;7.72532;png
385;753;7.60771;png
434.5;305;6.75116;png
248.5;415;7.41735;png
306.5;389;7.27827;png
419;108;5.63912;png
330;400;7.18361;png
351.334;762;7.64433;png
364;145;6.18346;png
419;203;6.62344;png
353;480;7.37495;png
436;111;5.52182;png
373;115;5.60649;png
334;336;6.99752;png
319.667;700;7.58306;png
435.5;631;7.60127;png
323;404;7.20607;png
244;404;7.33169;png
317;328;6.96015;png
427;108;5.58356;png
416;196;6.55166;png
279;262;6.62501;png
343.334;705;7.58183;png
333;354;7.02346;png
416;152;6.14945;png
319.5;421;7.27015;png
381;492;7.36221;png
293.5;421;7.28816;png
333;318;6.88745;png
351.334;710;7.5801;png
333.5;459;7.29473;png
269.5;403;7.31696;png
337.5;419;7.24074;png
351;352;6.9492;png
401.666;1684;7.85514;png
344.286;1988;7.89756;png
388;370;7.08653;png
447;134;5.89618;png
447;134;5.89618;png
233.837;5577296;7.99997;192-ecb
417;134;5.87976;png
408;610;7.58618;png
388;109;5.56907;png
366.668;707;7.56886;png
449.5;535;7.47584;png
436;134;5.77163;png
413;141;5.99794;png
312.5;417;7.24869;png
343.334;711;7.57618;png
387.334;724;7.53814;png
212;140;5.54397;png
320;532;7.54479;png
376;464;7.35645;png
244;404;7.33169;png
289;406;7.32837;png
439;218;6.67404;png
338.5;369;7.10255;png
411;112;5.52997;png
249.5;407;7.35017;png
425;193;6.52323;png
447;134;5.89618;png
343.334;711;7.57618;png
387.334;724;7.53814;png
376;464;7.35645;png
244;404;7.33169;png
289;406;7.32837;png
439;218;6.67404;png
338.5;369;7.10255;png
411;112;5.52997;png
249.5;407;7.35017;png
425;193;6.52323;png
447;134;5.89618;png
343.334;711;7.57618;png
387.334;724;7.53814;png
447;134;5.89618;png
107.615;891;5.99978;key
369.251;3157;7.92542;png
288.471;1151;5.90022;pem
136.792;1679;6.02437;pem
376;464;7.35645;png
419;522;7.42006;png
388.5;431;7.20883;png
339;398;7.23901;png
410;127;5.76846;png
445;173;6.30991;png
311.5;467;7.41368;png
275.5;391;7.30486;png
361.25;983;7.68583;png
431.5;595;7.58584;png
337;752;7.64917;png
332;1269;7.79613;png
440;215;6.67721;png
416.5;1026;7.72797;png
316;396;7.23751;png
439;199;6.54477;png
420;214;6.74255;png
422;133;5.83364;png
419;159;6.27164;png
331.001;785;7.6954;png
428.667;887;7.67037;png
414;129;5.82748;png
448;1208;7.79826;png
448.2;1291;7.72532;png
385;753;7.60771;png
434.5;305;6.75116;png
248.5;415;7.41735;png
306.5;389;7.27827;png
419;108;5.63912;png
330;400;7.18361;png
351.334;762;7.64433;png
364;145;6.18346;png
419;203;6.62344;png
353;480;7.37495;png
436;111;5.52182;png
373;115;5.60649;png
334;336;6.99752;png
319.667;700;7.58306;png
435.5;631;7.60127;png
108.077;887;5.99991;key
108.077;887;5.99991;key
323;404;7.20607;png
449;632;7.59732;png
416.5;1026;7.72797;png
439;218;6.67404;png
338.5;369;7.10255;png
396.001;784;7.62367;png
411;112;5.52997;png
249.5;407;7.35017;png
365.5;493;7.43779;png
315;498;7.49191;png
436;111;5.52182;png
373;115;5.60649;png
338;350;6.9791;png
376;464;7.35645;png
424.25;1105;7.73248;png
244;404;7.33169;png
289;406;7.32837;png
419;108;5.63912;png
439;199;6.54477;png
401;129;5.87194;png
420;214;6.74255;png
394.667;744;7.56848;png
331.001;785;7.6954;png
389;158;6.19777;png
410.001;771;7.64967;png
427;115;5.50451;png
259.5;419;7.39024;png
409.001;891;7.70863;png
298.5;413;7.3715;png
381.5;365;7.05829;png
376;464;7.35645;png
424.25;1105;7.73248;png
244;404;7.33169;png
289;406;7.32837;png
419;108;5.63912;png
439;199;6.54477;png
401;129;5.87194;png
420;214;6.74255;png
394.667;744;7.56848;png
331.001;785;7.6954;png
389;158;6.19777;png
410.001;771;7.64967;png
427;115;5.50451;png
259.5;419;7.39024;png
409.001;891;7.70863;png
298.5;413;7.3715;png
381.5;365;7.05829;png
402.654;267577;7.99892;aar
388;370;7.08653;png
323;404;7.20607;png
449;632;7.59732;png
416.5;1026;7.72797;png
439;218;6.67404;png
338.5;369;7.10255;png
396.001;784;7.62367;png
411;112;5.52997;png
249.5;407;7.35017;png
365.5;493;7.43779;png
315;498;7.49191;png
436;111;5.52182;png
373;115;5.60649;png
338;350;6.9791;png
417;134;5.87976;png
408;610;7.58618;png
388;109;5.56907;png
366.668;707;7.56886;png
449.5;535;7.47584;png
436;134;5.77163;png
413;141;5.99794;png
312.5;417;7.24869;png
343.334;711;7.57618;png
387.334;724;7.53814;png
212;140;5.54397;png
320;532;7.54479;png
408;118;5.633;png
404;202;6.71147;png
298;422;7.33028;png
346.5;367;7.05935;png
419;203;6.62344;png
425;193;6.52323;png
414;129;5.82748;png
364.584;3305;7.93068;png
334.2;1339;7.82382;png
419.5;589;7.55101;png
417;134;5.87976;png
408;610;7.58618;png
388;109;5.56907;png
366.668;707;7.56886;png
449.5;535;7.47584;png
436;134;5.77163;png
413;141;5.99794;png
312.5;417;7.24869;png
343.334;711;7.57618;png
387.334;724;7.53814;png
212;140;5.54397;png
320;532;7.54479;png
408;118;5.633;png
404;202;6.71147;png
298;422;7.33028;png
346.5;367;7.05935;png
419;203;6.62344;png
425;193;6.52323;png
414;129;5.82748;png
364.584;3305;7.93068;png
334.2;1339;7.82382;png
419.5;589;7.55101;png
323;404;7.20607;png
449;632;7.59732;png
416.5;1026;7.72797;png
439;218;6.67404;png
338.5;369;7.10255;png
396.001;784;7.62367;png
411;112;5.52997;png
249.5;407;7.35017;png
365.5;493;7.43779;png
315;498;7.49191;png
436;111;5.52182;png
373;115;5.60649;png
338;350;6.9791;png
417;134;5.87976;png
408;610;7.58618;png
388;109;5.56907;png
366.668;707;7.56886;png
449.5;535;7.47584;png
436;134;5.77163;png
413;141;5.99794;png
312.5;417;7.24869;png
343.334;711;7.57618;png
387.334;724;7.53814;png
212;140;5.54397;png
320;532;7.54479;png
376;464;7.35645;png
424.25;1105;7.73248;png
244;404;7.33169;png
289;406;7.32837;png
419;108;5.63912;png
439;199;6.54477;png
